District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Başakşehir,41.0825564,28.8004978,Decathlon,41.06249665005027,28.80608102468846,Sporting Goods Shop
Başakşehir,41.0825564,28.8004978,Media Markt,41.06370790838051,28.80834414284619,Electronics Store
Başakşehir,41.0825564,28.8004978,Rahmi Usta merkezefendi 1962,41.07503,28.808775,Kofte Place
Başakşehir,41.0825564,28.8004978,Başakşehir Kahvesi  Cafe&Nargile,41.06912544296311,28.804609517393974,Coffee Shop
Başakşehir,41.0825564,28.8004978,Mall of İstanbul,41.062786068733026,28.806495666503906,Shopping Mall
Başakşehir,41.0825564,28.8004978,VitrA - Artema - Evdema,41.066055943083356,28.79111618545422,Furniture / Home Store
Başakşehir,41.0825564,28.8004978,Farika Döner,41.10219803602344,28.7936095495584,Doner Restaurant
Başakşehir,41.0825564,28.8004978,Sodda Cafe,41.09829592382128,28.78919553430271,Café
Başakşehir,41.0825564,28.8004978,Mahmutoğlu teknoloji,41.070557646281515,28.820190026537276,Electronics Store
Başakşehir,41.0825564,28.8004978,Başakşehir Malatyalılar Pide ve Lahmacun Salonu,41.090268309100736,28.81083080764709,Bakery
Başakşehir,41.0825564,28.8004978,Mise coffee,41.070905,28.809468,Coffee Shop
Başakşehir,41.0825564,28.8004978,Bizim Gurme Teras,41.09353107654943,28.805857188932233,Deli / Bodega
Başakşehir,41.0825564,28.8004978,NamPlus by Namlı Karaköy,41.06419102285128,28.80663772792988,Breakfast Spot
Başakşehir,41.0825564,28.8004978,Kemal Usta Bafra Pidesi,41.06980940226345,28.823449398090037,Pizza Place
Başakşehir,41.0825564,28.8004978,Evkap Orman Urunleri,41.070743660085945,28.781991784487957,Furniture / Home Store
Başakşehir,41.0825564,28.8004978,askom istoç restaurant equipments,41.06754514164436,28.82176167048538,Department Store
Başakşehir,41.0825564,28.8004978,Faruk Güllüoğlu,41.098569425614464,28.791144996611383,Dessert Shop
Başakşehir,41.0825564,28.8004978,Cold Stone Creamery,41.06425807172131,28.807165513978468,Ice Cream Shop
Başakşehir,41.0825564,28.8004978,MinioKids,41.1037332341233,28.807955758559938,Arcade
Başakşehir,41.0825564,28.8004978,Pinkberry,41.06205095193035,28.806043833764043,Frozen Yogurt Shop
Başakşehir,41.0825564,28.8004978,NEALA CAFE TESTAURANT,41.094991492708346,28.78935763183107,Café
Başakşehir,41.0825564,28.8004978,Midpoint,41.06162551384082,28.80880174029935,Restaurant
Başakşehir,41.0825564,28.8004978,Lokum Atölyesi,41.06194043440735,28.80748963357,Candy Store
Başakşehir,41.0825564,28.8004978,Veliaht Et Lokantası,41.06572659419601,28.786785965670685,Steakhouse
Başakşehir,41.0825564,28.8004978,Has Restaurant Cafe,41.09279013513412,28.793687007752624,Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Dr.  Sofram Lokantası,41.04966613808632,28.896922070911547,Turkish Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Gabriel's Cafe Bilardo Salonu,41.05060779840319,28.900152736768632,Pool Hall
Bayrampaşa,41.0514523,28.8983046761122,Wish More Hotel Fitness & Spa,41.04915298121194,28.89954528973733,Gym / Fitness Center
Bayrampaşa,41.0514523,28.8983046761122,Hacıhaliloğlu Künefe&Kadayıf,41.052377720984964,28.895317057655227,Dessert Shop
Bayrampaşa,41.0514523,28.8983046761122,Kemence Evi,41.05417303193934,28.899863350654833,Music Venue
Bayrampaşa,41.0514523,28.8983046761122,Avan Büfe,41.053514521501,28.899752685935677,Fast Food Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Obur Cigkofte,41.051128864101166,28.897551570618653,Food Court
Bayrampaşa,41.0514523,28.8983046761122,Heybe Cafe,41.05182793454971,28.898073012891274,Café
Bayrampaşa,41.0514523,28.8983046761122,Wish More Hotel Istanbul,41.04911822582843,28.89942844691027,Hotel
Bayrampaşa,41.0514523,28.8983046761122,Simit Meydanı,41.048973953732336,28.898794052608057,Bagel Shop
Bayrampaşa,41.0514523,28.8983046761122,Mega Halı Saha,41.050613820816025,28.89363514775311,Soccer Field
Bayrampaşa,41.0514523,28.8983046761122,Safran Kebap Pide Salonu,41.05232705137087,28.898567058103854,Asian Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Zara,41.04670717736523,28.89651112474093,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,e bebek,41.04749816875261,28.89774823571942,Baby Store
Bayrampaşa,41.0514523,28.8983046761122,LC Waikiki,41.04728236960156,28.89755551576038,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Sofram,41.049441220867,28.896430270113846,Turkish Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Cevizalti Köfte,41.05459818961847,28.903870404848576,Kofte Place
Bayrampaşa,41.0514523,28.8983046761122,forum istanbul mavi jeans,41.04729538728524,28.89665299507278,Shopping Mall
Bayrampaşa,41.0514523,28.8983046761122,Decathlon,41.04616768066686,28.895509226579264,Sporting Goods Shop
Bayrampaşa,41.0514523,28.8983046761122,Kartal Yuvası,41.04644564687766,28.8977348017718,Sporting Goods Shop
Bayrampaşa,41.0514523,28.8983046761122,Koton,41.04756026186027,28.896673092174716,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Fenerium,41.04607591523584,28.897540351131028,Sporting Goods Shop
Bayrampaşa,41.0514523,28.8983046761122,Cold Stone Creamery,41.04597553975481,28.89697569236806,Ice Cream Shop
Bayrampaşa,41.0514523,28.8983046761122,GS Store,41.045912631744656,28.89739138468253,Sporting Goods Shop
Bayrampaşa,41.0514523,28.8983046761122,Forum İstanbul,41.04724038389753,28.896749688730896,Shopping Mall
Bayrampaşa,41.0514523,28.8983046761122,D&R,41.04583836772791,28.897564158669606,Bookstore
Bayrampaşa,41.0514523,28.8983046761122,Markapark,41.04673331647884,28.89669585511723,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Damat Tween,41.04732851832275,28.89663397625983,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Mavi,41.04724555760405,28.896656033775162,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Krispy Kreme,41.0465147506391,28.897705703997588,Donut Shop
Bayrampaşa,41.0514523,28.8983046761122,Watsons,41.046560363592974,28.897693815060677,Cosmetics Shop
Bayrampaşa,41.0514523,28.8983046761122,Çaycı,41.047752229976744,28.898151092483996,Café
Bayrampaşa,41.0514523,28.8983046761122,Joker Toys,41.046136635032006,28.89742415114139,Toy / Game Store
Bayrampaşa,41.0514523,28.8983046761122,İstanbul Sea Life Akvaryum,41.04581520279635,28.896172744579328,Aquarium
Bayrampaşa,41.0514523,28.8983046761122,Cookshop,41.04592306921918,28.896434473592826,Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Starbucks,41.045918823141804,28.89652720570729,Coffee Shop
Bayrampaşa,41.0514523,28.8983046761122,Kokoreççi Ali Baba,41.054455,28.904339,Turkish Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Rossmann,41.04740944675387,28.8976825688854,Cosmetics Shop
Bayrampaşa,41.0514523,28.8983046761122,Stradivarius,41.04663674226639,28.89671167711979,Women's Store
Bayrampaşa,41.0514523,28.8983046761122,Mercan Parkı,41.05435765918941,28.89879962569845,Park
Bayrampaşa,41.0514523,28.8983046761122,Intersport,41.04596714675181,28.89690886745186,Sporting Goods Shop
Bayrampaşa,41.0514523,28.8983046761122,Hitit Firin Kazdallar,41.04975057958378,28.90586397688696,Bakery
Bayrampaşa,41.0514523,28.8983046761122,Turan Bakkal,41.05358689835896,28.89340555342715,Fast Food Restaurant
Bayrampaşa,41.0514523,28.8983046761122,doğal lezzetler (doğa lokantası),41.05186734138496,28.90536718977233,Diner
Bayrampaşa,41.0514523,28.8983046761122,U.S. Polo Assn.,41.04796485337532,28.897223228012763,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Bershka,41.046516520952586,28.896848308114507,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Gratis,41.047344412447096,28.89762517923519,Cosmetics Shop
